Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,1.021176128690498,-3.1703217185939303e-27,-0.1815076879083519,-1.1173752775335374e-13,-0.10140741960410689,-1.6762773977381173e-12
0.004008826777388713,1.0211750840598353,-0.0004065200395451531,-0.18150362051796623,-0.0005211647018873715,-0.10140387272319282,0.002029224504609958
0.011874981656328627,1.0211669624690476,-0.0012040880478574314,-0.18147199687618903,-0.001543772054161316,-0.10137629421317217,0.006011316969557649
0.01974536835790783,1.021150786305506,-0.0020017604183263436,-0.18140900374247476,-0.002566850480889468,-0.1013213493828791,0.009996535060638353
0.02762079074041894,1.0211265405237975,-0.0027994024100014485,-0.18131456896558124,-0.00359045175515891,-0.1012389564462616,0.01398594199009973
0.03550149423332993,1.0210942097736493,-0.003596821484722148,-0.18118861236177888,-0.004614554655975942,-0.10112901705313156,0.017980323951917968
0.04338771059967262,1.0210537781891,-0.004393822372124186,-0.18103104480889454,-0.0056391357010451915,-0.10099141533030545,0.021980467280863475
0.05127970675528723,1.021005229137138,-0.005190211818770298,-0.18084176716490175,-0.006664175398029359,-0.10082601672714711,0.025987184666650735
0.059177735067072496,1.0209485454244411,-0.005985793368672339,-0.18062067095421425,-0.007689651691972088,-0.10063266836135996,0.030001291458800233
0.06708208370128647,1.0208837089386502,-0.006780372237432238,-0.18036763683112567,-0.008715546405715677,-0.10041119737673089,0.03402363280716858
0.07499306315976015,1.0208107006021971,-0.007573753721186992,-0.1800825342407392,-0.009741843384431154,-0.10016141029633259,0.038055078523422416
0.08291100498927628,1.0207295002786518,-0.008365742823681509,-0.17976522087326688,-0.010768528217081503,-0.09988309214181602,0.042096524199681004
0.09083626620564407,1.0206400866204122,-0.009156144439428719,-0.1794155418657793,-0.01179558869320929,-0.09957600527334205,0.04614889534400813
0.09876923430061907,1.0205424368825002,-0.009944763570145529,-0.17903332884539114,-0.012823015327021483,-0.09923988802626918,0.05021315195056579
0.10671030328392495,1.0204365271075484,-0.010731402647798628,-0.17861840039868437,-0.013850798124308512,-0.0988744545344269,0.05429027834170772
0.11465989779259181,1.0203223317442998,-0.011515863626263247,-0.1781705602963214,-0.014878929569679369,-0.09847939250724624,0.05838129774330369
0.12261844319018927,1.0201998239775887,-0.01229794470329507,-0.17768959847520346,-0.01590740061573699,-0.09805436335647184,0.062487259276803105
0.13058635623371434,1.0200689758955943,-0.013077439107285484,-0.17717529135945487,-0.016936199337945854,-0.09759900166626857,0.06660923552013094
0.13856403807462084,1.0199297586740477,-0.013854134125933705,-0.17662740222253126,-0.017965309890953966,-0.09711291461831238,0.07074832133697265
0.14655181164985218,1.0197821438613348,-0.01462780477616454,-0.1760456858648983,-0.01899470430180929,-0.09659568517147993,0.07490560378866319
0.15454990463319992,1.0196261041395525,-0.015398212049544982,-0.17542989123385602,-0.02002434017247326,-0.0960468733676301,0.07908215535015023
0.1625583757707564,1.0194616153846534,-0.016165095834646273,-0.1747797691817994,-0.021054151124103936,-0.0954660221740455,0.08327899725373279
0.1705770339526282,1.0192886593439605,-0.0169281674521853,-0.1740950827252538,-0.022084036383986008,-0.09485266558422972,0.08749705812478614
0.17860531632649015,1.0191072277620732,-0.017687098712889173,-0.17337562314739344,-0.02311384521940615,-0.09420634204640328,0.09173710976921735
0.18664213845360267,1.0189173279356132,-0.018441508967362356,-0.17262123196102847,-0.024143357951402055,-0.0935266133748104,0.09599968612160484
0.19468569562209842,1.0187189904214482,-0.019190948439002774,-0.17183183173036418,-0.02517226094338124,-0.09281309202880253,0.10028497333574556
0.2027332231589976,1.0185122790388688,-0.019934878930240048,-0.17100746648363374,-0.026200116669116143,-0.09206547769432828,0.10459267382581039
0.210780691042314,1.01829730412119,-0.020672650022268393,-0.1701483557470108,-0.027226325822277218,-0.09128360718146422,0.1089218294322977
0.218822498161873,1.0180742376198102,-0.021403477236138856,-0.16925495689736564,-0.028250089941537795,-0.09046751328314345,0.11327063690029142
0.22685113838096965,1.017843330838387,-0.02212641988540381,-0.168328039208622,-0.029270371094164502,-0.08961749614470405,0.11763623927993591
0.23485696011194224,1.0176049312483155,-0.02284036980566954,-0.1673687556210557,-0.030285864167948498,-0.08873419485357212,0.1220145581198735
0.24282807935787082,1.0173594957507137,-0.02354405583008151,-0.16637870169229801,-0.03129498926997629,-0.08781864976002449,0.12640020039021066
0.2507505645196277,1.0171075953639421,-0.02423607336696235,-0.16535994127964215,-0.03229591893176943,-0.08687233644675882,0.13078650865999206
0.258608982400491,1.0168499063405876,-0.024914944848032004,-0.16431497810026513,-0.033286650867795226,-0.08589715107912947,0.13516581125500846
0.2663872544399161,1.0165871868944698,-0.025579203915773376,-0.16324666874738178,-0.034265119098273,-0.08489534133500834,0.13952985424694686
0.27406973656912287,1.0163202405212528,-0.026227493375296423,-0.16215807986394684,-0.03522933179252275,-0.08386938335479782,0.14387037701840333
0.2816422903999157,1.016049873024255,-0.02685865544860724,-0.16105231722706131,-0.03617750610609176,-0.08282182873524863,0.1481797083879127
0.289093115208658,1.0157768522271273,-0.02747179498698773,-0.15993236278609507,-0.037108171047936095,-0.08175515438487838,0.15245125402889675
0.2964132093543481,1.0155018773605748,-0.02806630646151804,-0.1588009483828108,-0.03802022237656193,-0.08067164247320821,0.1566797948854271
0.3035964349677722,1.0152255618881725,-0.02864186533009473,-0.15766048235928554,-0.03891292700512806,-0.07957330695988248,0.16086157172528326
0.31063927571086897,1.0149484289134687,-0.029198393946790448,-0.15651302659811336,-0.039785888914127154,-0.07846186599983627,0.16499419671884452
