Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,0.8082345151982595,2.230630555067976e-23,4.300655269891714e-25,-8.433177870650808e-13,0.5164471457797999,-1.393414024105238e-25
0.003266896130556027,0.8082385173732948,0.0016871618047773062,4.296013981842361e-25,0.0024501188070505447,0.5164311881965197,-1.4479810828906583e-25
0.00871281433032303,0.8082629807966025,0.004499378468005569,4.287881019261063e-25,0.006533805850280021,0.5163336563424734,-1.5387964817850567e-25
0.014163007583511333,0.8083097246279632,0.007313029230002934,4.27924708406518e-25,0.01061888989261698,0.5161473408094988,-1.6294693620622959e-25
0.019618977786534222,0.8083788104057434,0.01012840316726325,4.270109685709234e-25,0.014705362708087642,0.5158720805089643,-1.7199911843118154e-25
0.02508219129830283,0.808470317378765,0.012945767486699759,4.2604660394106185e-25,0.018793185694362467,0.51550768421066,-1.8103526599050972e-25
0.03055407382469911,0.8085843416525543,0.015765363985903096,4.250313094468308e-25,0.022882285694064378,0.5150539342292433,-1.9005436571195072e-25
0.0360360119035511,0.8087209953840951,0.018587408971570553,4.239647552358554e-25,0.02697255589942012,0.514510589943663,-1.9905532212826666e-25
0.041529339724021314,0.8088804055534529,0.021412085688319073,4.22846591466677e-25,0.031063845972409736,0.5138773930112412,-2.08036935934043e-25
0.047035341939742716,0.8090627129701907,0.02423954506238468,4.216764503516204e-25,0.03515596430465862,0.5131540716417345,-2.1699790944430773e-25
0.05255522861782697,0.8092680702514199,0.02706989222411628,4.2045395435001545e-25,0.03924865978550723,0.5123403489252394,-2.259368074366718e-25
0.05809014539819252,0.8094966407072566,0.02990319123918045,4.191787174365258e-25,0.04334163004174656,0.511435947503371,-2.3485207639209206e-25
0.063641150954893,0.8097485959216945,0.032739453188184255,4.178503537898183e-25,0.04743450569833729,0.5104405993305937,-2.437420116457501e-25
0.06920921379478165,0.810024113774119,0.035578634328974054,4.164684827873643e-25,0.051526849351572104,0.5093540535696788,-2.5260475717373003e-25
0.0747952080714183,0.8103233763262521,0.03842063389874789,4.150327344059534e-25,0.05561815412124063,0.5081760848775368,-2.614383047861934e-25
0.08039990668618628,0.8106465674445771,0.041265290695595994,4.135427555476959e-25,0.059707840542650124,0.506906502560464,-2.702404901009507e-25
0.0860239673762523,0.8109938698080398,0.04411237629993162,4.1199821864844935e-25,0.06379524873785714,0.5055451619302247,-2.790089788441648e-25
0.09166793159234789,0.811365462447005,0.04696159500342606,4.10398827286776e-25,0.06787964033008645,0.5040919733196407,-2.8774127461869755e-25
0.09733222792874398,0.8117615185893331,0.049812586194421436,4.0874432043748244e-25,0.07196020391068046,0.5025469096376745,-2.9643473450421155e-25
0.10301715124407347,0.8121822017518736,0.052664914692853455,4.070344838883497e-25,0.07603604328486649,0.5009100204760198,-3.050865482800274e-25
0.10872288083190451,0.8126276644628843,0.05551808094938526,4.0526915040216406e-25,0.0801061941656229,0.49918143562392453,-3.1369377862133943e-25
0.11444946000710146,0.813098044197774,0.0583715120383759,4.0344821127082196e-25,0.08416961336872773,0.4973613791001922,-3.222533430559686e-25
0.12019681212607329,0.8135934620523901,0.061224571092292915,4.0157161675299454e-25,0.08822519428461748,0.4954501721917717,-3.307620518464276e-25
0.1259647429247853,0.8141140205689885,0.06407655997426319,3.9963938020512143e-25,0.0922717725461383,0.4934482394719241,-3.392166250060988e-25
0.13175293698458435,0.8146598010815529,0.06692671919345065,3.9765158400105613e-25,0.09630812765040134,0.4913561163227649,-3.476137009463819e-25
0.13756097350632612,0.8152308629448249,0.06977423746294911,3.9560837861162746e-25,0.10033299807198995,0.4891744488987221,-3.5594987322701397e-25
0.14338833477465132,0.8158272424166496,0.07261825763559479,3.935099834053979e-25,0.10434509096497434,0.4869039951820026,-3.6422171561104912e-25
0.1492344133067311,0.8164489516378571,0.07545788200919586,3.9135668736954137e-25,0.10834309070714332,0.48454562542955754,-3.72425804416817e-25
0.15509852392582685,0.8170959783744615,0.0782921800120147,3.89148847455088e-25,0.11232567050726618,0.4821003195274521,-3.805587467851747e-25
